Date,Open,High,Low,Close
11/28/2022,7.174%,7.174%,6.832%,6.900%
11/29/2022,6.900%,7.002%,6.900%,7.002%
11/30/2022,7.002%,7.002%,6.946%,6.946%
12/01/2022,6.946%,7.035%,6.891%,6.891%
12/02/2022,6.891%,6.896%,6.876%,6.876%
12/05/2022,6.876%,6.909%,6.876%,6.909%
12/06/2022,6.909%,6.909%,6.895%,6.895%
12/07/2022,6.895%,6.900%,6.895%,6.895%
12/08/2022,6.895%,7.033%,6.895%,7.033%
12/09/2022,7.033%,7.033%,7.000%,7.000%
12/12/2022,7.000%,7.102%,7.000%,7.102%
12/13/2022,7.102%,7.172%,7.102%,7.172%
12/14/2022,7.172%,7.207%,7.172%,7.207%
12/15/2022,7.207%,7.207%,6.995%,6.995%
12/16/2022,6.995%,7.172%,6.995%,7.172%
12/19/2022,7.172%,7.172%,7.012%,7.012%
12/20/2022,7.012%,7.012%,6.994%,6.994%
12/21/2022,6.994%,7.000%,6.994%,7.000%
12/22/2022,7.000%,7.171%,7.000%,7.171%
12/23/2022,7.171%,7.206%,7.171%,7.206%
12/26/2022,7.206%,7.206%,7.003%,7.061%
12/27/2022,7.061%,7.061%,7.009%,7.009%
12/28/2022,7.009%,7.045%,7.009%,7.045%
12/29/2022,7.045%,7.313%,7.045%,7.313%
12/30/2022,7.313%,7.313%,7.203%,7.203%
01/02/2023,7.203%,7.347%,7.203%,7.347%
01/03/2023,7.347%,7.347%,7.028%,7.040%
01/04/2023,7.040%,7.040%,7.009%,7.009%
01/05/2023,7.009%,7.071%,7.009%,7.025%
01/06/2023,7.025%,7.058%,7.025%,7.058%
01/09/2023,7.058%,7.058%,6.995%,7.027%
01/10/2023,7.027%,7.062%,7.006%,7.006%
01/11/2023,7.006%,7.027%,6.943%,6.943%
01/12/2023,6.943%,7.019%,6.943%,6.949%
01/13/2023,6.949%,7.025%,6.945%,7.001%
01/16/2023,7.001%,7.003%,6.973%,7.003%
01/17/2023,7.003%,7.010%,7.003%,7.004%
01/18/2023,7.004%,7.004%,6.960%,6.960%
01/19/2023,6.960%,6.960%,6.891%,6.915%
01/20/2023,6.915%,6.977%,6.915%,6.977%
01/23/2023,6.977%,7.016%,6.977%,6.978%
01/24/2023,6.978%,7.013%,6.971%,7.005%
01/25/2023,7.005%,7.012%,6.998%,7.003%
01/27/2023,7.003%,7.075%,7.003%,7.066%
01/30/2023,7.066%,7.108%,7.052%,7.108%
01/31/2023,7.108%,7.149%,7.063%,7.077%
02/01/2023,7.077%,7.199%,7.013%,7.032%
02/02/2023,7.032%,7.032%,6.967%,7.010%
02/03/2023,7.010%,7.015%,7.010%,7.015%
02/06/2023,7.015%,7.089%,7.015%,7.056%
02/07/2023,7.056%,7.058%,7.053%,7.053%
02/08/2023,7.053%,7.142%,7.053%,7.132%
02/09/2023,7.132%,7.357%,7.132%,7.173%
02/10/2023,7.173%,7.197%,7.150%,7.197%
02/13/2023,7.197%,7.274%,7.176%,7.201%
02/14/2023,7.201%,7.251%,7.201%,7.213%
02/15/2023,7.213%,7.254%,7.205%,7.254%
02/16/2023,7.254%,7.254%,7.159%,7.183%
02/17/2023,7.206%,7.258%,7.206%,7.248%
02/20/2023,7.248%,7.363%,7.197%,7.265%
02/21/2023,7.249%,7.292%,7.249%,7.286%
02/22/2023,7.286%,7.286%,7.245%,7.270%
02/23/2023,7.314%,7.420%,7.247%,7.247%
02/24/2023,7.272%,7.387%,7.244%,7.387%
02/27/2023,7.387%,7.387%,7.375%,7.375%
02/28/2023,7.380%,7.380%,7.355%,7.363%
03/01/2023,7.353%,7.415%,7.353%,7.415%
03/02/2023,7.415%,7.415%,7.402%,7.402%
03/03/2023,7.492%,7.492%,7.345%,7.345%
03/06/2023,7.345%,7.355%,7.320%,7.355%
03/08/2023,7.355%,7.432%,7.355%,7.432%
03/09/2023,7.422%,7.422%,7.385%,7.410%
03/10/2023,7.420%,7.420%,7.367%,7.367%
03/13/2023,7.367%,7.367%,7.269%,7.269%
03/14/2023,7.259%,7.259%,7.116%,7.126%
03/15/2023,7.126%,7.168%,7.123%,7.168%
03/16/2023,7.153%,7.153%,7.130%,7.146%
